Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop,Starting Anneal Temp,Starting Anneal Field,Number of Temps
110,170000,120000,5000,1.0,0.0,0.1,20.0,1.0,21

Temperature,K,Spatial Spin Correlation
2.2499999999999996,44,-0.000185671630942
2.2499999999999996,45,-0.000214180236598
2.2499999999999996,46,-0.000218426199143
2.2499999999999996,47,-0.000194701194146
2.2499999999999996,48,-0.000228076114017
2.2499999999999996,49,-0.000207990505486
2.2499999999999996,50,-0.00016856371043
2.2499999999999996,51,-0.000184237929304
2.2499999999999996,52,-0.000131190968682
2.2499999999999996,53,-0.000129702124673
2.2499999999999996,54,-8.92414101659e-05
2.2549999999999994,1,0.00185287388877
2.2549999999999994,2,0.00101749454373
2.2549999999999994,3,0.000526244948677
2.2549999999999994,4,0.000311823840177
2.2549999999999994,5,0.000158803761462
2.2549999999999994,6,5.611488161e-05
2.2549999999999994,7,1.75828968418e-06
2.2549999999999994,8,-5.85950350561e-05
2.2549999999999994,9,-0.0001268475044
2.2549999999999994,10,-7.50688183053e-05
2.2549999999999994,11,-5.02547514865e-05
2.2549999999999994,12,-7.50550327126e-05
2.2549999999999994,13,-1.43019257846e-05
2.2549999999999994,14,1.35863282011e-05
2.2549999999999994,15,-1.51152757526e-05
2.2549999999999994,16,-5.76864391751e-06
2.2549999999999994,17,3.3189440988e-05
2.2549999999999994,18,2.05894092811e-05
2.2549999999999994,19,2.74408488416e-05
2.2549999999999994,20,-4.5195438974e-05
2.2549999999999994,21,-8.42362374355e-05
2.2549999999999994,22,-0.00011690809208
2.2549999999999994,23,-0.000124586667201
2.2549999999999994,24,-0.000147057183265
2.2549999999999994,25,-0.000205122099621
2.2549999999999994,26,-0.000210912048545
2.2549999999999994,27,-0.000211353187511
2.2549999999999994,28,-0.000187338685068
2.2549999999999994,29,-0.000173236023759
2.2549999999999994,30,-0.000175207363512
2.2549999999999994,31,-0.00015542503802
2.2549999999999994,32,-0.000156486528656
2.2549999999999994,33,-0.000196616388939
2.2549999999999994,34,-0.000191557076427
2.2549999999999994,35,-0.000214579016197
2.2549999999999994,36,-0.000242508626961
2.2549999999999994,37,-0.000224918210705
2.2549999999999994,38,-0.000182734297113
2.2549999999999994,39,-0.000129949262753
2.2549999999999994,40,-0.000187462755402
2.2549999999999994,41,-0.0001799358218
2.2549999999999994,42,-0.00017679270667
2.2549999999999994,43,-0.000154005121974
2.2549999999999994,44,-0.000179411969278
2.2549999999999994,45,-0.000147305323933
2.2549999999999994,46,-0.000140522812336
2.2549999999999994,47,-0.000136180350643
2.2549999999999994,48,-0.000151992425443
2.2549999999999994,49,-0.000154005121974
2.2549999999999994,50,-0.000169196845104
2.2549999999999994,51,-0.000152033782221
2.2549999999999994,52,-0.000141915157196
2.2549999999999994,53,-0.000141281019933
2.2549999999999994,54,-0.000137986263284
2.2599999999999993,1,0.00250137523819
2.2599999999999993,2,0.00157827816694
2.2599999999999993,3,0.00106133222714
2.2599999999999993,4,0.000743808671012
2.2599999999999993,5,0.000522963476325
2.2599999999999993,6,0.000369130047642
2.2599999999999993,7,0.000250050098097
2.2599999999999993,8,0.000175580326455
2.2599999999999993,9,0.000129729445211
2.2599999999999993,10,7.56899219171e-05
2.2599999999999993,11,-9.7393959028e-06
2.2599999999999993,12,-0.000103164357475
2.2599999999999993,13,-0.000158623796815
2.2599999999999993,14,-0.000164744599964
2.2599999999999993,15,-0.000143514787241
2.2599999999999993,16,-0.000203523472165
2.2599999999999993,17,-0.000207135297446
2.2599999999999993,18,-0.000204998530581
2.2599999999999993,19,-0.000168521852358
2.2599999999999993,20,-0.000213807524302
2.2599999999999993,21,-0.00020823814486
2.2599999999999993,22,-0.000195017761483
2.2599999999999993,23,-0.000202558480677
2.2599999999999993,24,-0.00019886394184
2.2599999999999993,25,-0.00026174003004
2.2599999999999993,26,-0.000258086847981
2.2599999999999993,27,-0.00025298617869
2.2599999999999993,28,-0.00027301664485
2.2599999999999993,29,-0.000240551574095
2.2599999999999993,30,-0.000258693414058
2.2599999999999993,31,-0.000204295465355
2.2599999999999993,32,-0.000201841629858
2.2599999999999993,33,-0.000139475608587
2.2599999999999993,34,-0.00015628024606
2.2599999999999993,35,-0.000196492819899
2.2599999999999993,36,-0.000215420438645
2.2599999999999993,37,-0.000179122973126
2.2599999999999993,38,-0.00019283963784
2.2599999999999993,39,-0.000184416640714
2.2599999999999993,40,-0.000144245423653
2.2599999999999993,41,-0.000183561933968
2.2599999999999993,42,-0.000198808799469
2.2599999999999993,43,-0.000227331190718
2.2599999999999993,44,-0.00024886428648
2.2599999999999993,45,-0.000282004851275
2.2599999999999993,46,-0.000294990879577
2.2599999999999993,47,-0.000303496590259
2.2599999999999993,48,-0.000287395018012
2.2599999999999993,49,-0.000318729670167
2.2599999999999993,50,-0.00031699268549
2.2599999999999993,51,-0.000303317377554
2.2599999999999993,52,-0.000310127460337
2.2599999999999993,53,-0.000324326620794
2.2599999999999993,54,-0.000360651657498
2.2649999999999992,1,0.00253131127931
2.2649999999999992,2,0.00159274677307
2.2649999999999992,3,0.00110473679231
2.2649999999999992,4,0.000770684310554
2.2649999999999992,5,0.000600321956251
2.2649999999999992,6,0.000385804348603
2.2649999999999992,7,0.000280399706993
2.2649999999999992,8,0.000221769581338
2.2649999999999992,9,0.000219453601768
2.2649999999999992,10,0.000170500962172
2.2649999999999992,11,0.000123216379289
2.2649999999999992,12,0.000121203682758
2.2649999999999992,13,0.00011487609572
2.2649999999999992,14,3.14732600232e-05
2.2649999999999992,15,2.60693076938e-05
2.2649999999999992,16,-3.50008678657e-05
2.2649999999999992,17,-7.06641961214e-05
2.2649999999999992,18,-0.000117314641741
2.2649999999999992,19,-0.000208478766114
2.2649999999999992,20,-0.000190516138856
2.2649999999999992,21,-0.000155293949566
