Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop,Starting Anneal Temp
100,200000,100000,5000,1.0,0.0,0.1,20.0

Temperature,K,Spatial Spin Correlation
2.1499999999999995,1,0.00084224040404
2.1499999999999995,2,0.000291492929293
2.1499999999999995,3,9.86242424242e-05
2.1499999999999995,4,-1.36787878788e-05
2.1499999999999995,5,-6.75171717172e-05
2.1499999999999995,6,-3.70525252525e-05
2.1499999999999995,7,-4.01434343434e-05
2.1499999999999995,8,-3.09717171717e-05
2.1499999999999995,9,-4.47898989899e-05
2.1499999999999995,10,-1.80626262626e-05
2.1499999999999995,11,-3.87494949495e-05
2.1499999999999995,12,-4.15171717172e-05
2.1499999999999995,13,-6.02646464646e-05
2.1499999999999995,14,-6.90525252525e-05
2.1499999999999995,15,-4.71535353535e-05
2.1499999999999995,16,-6.15777777778e-05
2.1499999999999995,17,-7.54767676768e-05
2.1499999999999995,18,-7.30323232323e-05
2.1499999999999995,19,-6.63454545455e-05
2.1499999999999995,20,-6.33151515152e-05
2.1499999999999995,21,-5.56181818182e-05
2.1499999999999995,22,-9.27090909091e-05
2.1499999999999995,23,-0.000100608080808
2.1499999999999995,24,-8.49919191919e-05
2.1499999999999995,25,-5.1901010101e-05
2.1499999999999995,26,-5.67898989899e-05
2.1499999999999995,27,-9.92141414141e-05
2.1499999999999995,28,-9.61838383838e-05
2.1499999999999995,29,-6.26282828283e-05
2.1499999999999995,30,-5.47696969697e-05
2.1499999999999995,31,-5.59212121212e-05
2.1499999999999995,32,-8.59818181818e-05
2.1499999999999995,33,-8.74161616162e-05
2.1499999999999995,34,-0.000101860606061
2.1499999999999995,35,-3.83050505051e-05
2.1499999999999995,36,-4.48505050505e-05
2.1499999999999995,37,-8.04060606061e-05
2.1499999999999995,38,-7.42444444444e-05
2.1499999999999995,39,-5.59616161616e-05
2.1499999999999995,40,-6.20626262626e-05
2.1499999999999995,41,-6.23858585859e-05
2.1499999999999995,42,-2.43252525253e-05
2.1499999999999995,43,-4.02222222222e-06
2.1499999999999995,44,-1.62646464646e-05
2.1499999999999995,45,-6.11535353535e-05
2.1499999999999995,46,-6.34161616162e-05
2.1499999999999995,47,-3.69313131313e-05
2.1499999999999995,48,-5.30525252525e-05
2.1499999999999995,49,-5.45474747475e-05
2.1749999999999994,1,0.000985834343434
2.1749999999999994,2,0.000406884848485
2.1749999999999994,3,0.000135672727273
2.1749999999999994,4,4.17333333333e-05
2.1749999999999994,5,-3.09737373737e-05
2.1749999999999994,6,-5.7903030303e-05
2.1749999999999994,7,-0.000109519191919
2.1749999999999994,8,-0.000103458585859
2.1749999999999994,9,-9.53575757576e-05
2.1749999999999994,10,-6.54787878788e-05
2.1749999999999994,11,-4.61050505051e-05
2.1749999999999994,12,-4.39838383838e-05
2.1749999999999994,13,-7.18222222222e-05
2.1749999999999994,14,-7.91151515152e-05
2.1749999999999994,15,-6.77818181818e-05
2.1749999999999994,16,-1.87111111111e-05
2.1749999999999994,17,-5.58626262626e-05
2.1749999999999994,18,-4.46505050505e-05
2.1749999999999994,19,-3.52363636364e-05
2.1749999999999994,20,-6.18424242424e-05
2.1749999999999994,21,-7.45494949495e-05
2.1749999999999994,22,-9.7903030303e-05
2.1749999999999994,23,-5.79232323232e-05
2.1749999999999994,24,-5.20242424242e-05
2.1749999999999994,25,-5.20848484848e-05
2.1749999999999994,26,-8.08484848485e-06
2.1749999999999994,27,-2.28686868687e-06
2.1749999999999994,28,-3.50545454545e-05
2.1749999999999994,29,-7.1195959596e-05
2.1749999999999994,30,-8.24080808081e-05
2.1749999999999994,31,-9.81454545455e-05
2.1749999999999994,32,-6.33777777778e-05
2.1749999999999994,33,-8.79838383838e-05
2.1749999999999994,34,-7.3701010101e-05
2.1749999999999994,35,-7.07717171717e-05
2.1749999999999994,36,-9.42262626263e-05
2.1749999999999994,37,-0.000114246464646
2.1749999999999994,38,-9.1903030303e-05
2.1749999999999994,39,-0.000116892929293
2.1749999999999994,40,-0.000113701010101
2.1749999999999994,41,-0.000102993939394
2.1749999999999994,42,-8.21656565657e-05
2.1749999999999994,43,-7.37616161616e-05
2.1749999999999994,44,-7.53575757576e-05
2.1749999999999994,45,-5.65090909091e-05
2.1749999999999994,46,-3.68727272727e-05
2.1749999999999994,47,-7.80646464646e-05
2.1749999999999994,48,-3.41454545455e-05
2.1749999999999994,49,-9.85696969697e-05
2.1999999999999993,1,0.000818867474747
2.1999999999999993,2,0.000320827070707
2.1999999999999993,3,8.04028282828e-05
2.1999999999999993,4,3.62614141414e-05
2.1999999999999993,5,-2.71931313131e-05
2.1999999999999993,6,-3.30719191919e-05
2.1999999999999993,7,-7.48092929293e-05
2.1999999999999993,8,-7.26678787879e-05
2.1999999999999993,9,-7.77991919192e-05
2.1999999999999993,10,-7.39406060606e-05
2.1999999999999993,11,-8.86476767677e-05
2.1999999999999993,12,-5.88496969697e-05
2.1999999999999993,13,-6.93951515152e-05
2.1999999999999993,14,-9.10921212121e-05
2.1999999999999993,15,-8.56981818182e-05
2.1999999999999993,16,-0.000108001212121
2.1999999999999993,17,-8.46476767677e-05
2.1999999999999993,18,-7.8183030303e-05
2.1999999999999993,19,-6.20416161616e-05
2.1999999999999993,20,-3.71527272727e-05
2.1999999999999993,21,-7.5677979798e-05
2.1999999999999993,22,-5.44052525253e-05
2.1999999999999993,23,-1.90315151515e-05
2.1999999999999993,24,-1.98193939394e-05
2.1999999999999993,25,-5.14557575758e-05
2.1999999999999993,26,-8.1677979798e-05
2.1999999999999993,27,-8.14355555556e-05
2.1999999999999993,28,-8.66476767677e-05
2.1999999999999993,29,-7.68294949495e-05
2.1999999999999993,30,-8.74961616162e-05
2.1999999999999993,31,-9.24052525253e-05
2.1999999999999993,32,-7.71527272727e-05
2.1999999999999993,33,-5.91931313131e-05
2.1999999999999993,34,-4.62234343434e-05
2.1999999999999993,35,-4.56375757576e-05
2.1999999999999993,36,-4.1981010101e-05
2.1999999999999993,37,-8.1677979798e-05
2.1999999999999993,38,-2.97385858586e-05
2.1999999999999993,39,-4.79002020202e-05
2.1999999999999993,40,-4.72941414141e-05
2.1999999999999993,41,-5.51931313131e-05
2.1999999999999993,42,-4.19204040404e-05
2.1999999999999993,43,-2.65062626263e-05
2.1999999999999993,44,-3.71729292929e-05
2.1999999999999993,45,-2.99608080808e-05
2.1999999999999993,46,-4.1576969697e-05
2.1999999999999993,47,-4.97183838384e-05
2.1999999999999993,48,-5.20214141414e-05
2.1999999999999993,49,-3.80416161616e-05
2.224999999999999,1,0.000928046868687
2.224999999999999,2,0.00034531959596
2.224999999999999,3,9.87539393939e-05
2.224999999999999,4,1.26327272727e-05
2.224999999999999,5,-2.36298989899e-05
2.224999999999999,6,-4.13066666667e-05
2.224999999999999,7,-6.04783838384e-05
2.224999999999999,8,-3.04985858586e-05
2.224999999999999,9,-5.16703030303e-05
2.224999999999999,10,-6.43167676768e-05
2.224999999999999,11,-7.99329292929e-05
2.224999999999999,12,-6.49228282828e-05
2.224999999999999,13,-0.000103528888889
2.224999999999999,14,-8.73268686869e-05
2.224999999999999,15,-6.38521212121e-05
2.224999999999999,16,-7.61147474747e-05
2.224999999999999,17,-5.56096969697e-05
2.224999999999999,18,-3.94884848485e-05
2.224999999999999,19,-3.72864646465e-05
2.224999999999999,20,-3.28218181818e-05
2.224999999999999,21,-3.02561616162e-05
2.224999999999999,22,-4.2235959596e-05
2.224999999999999,23,-5.91248484848e-05
2.224999999999999,24,-2.11652525253e-05
2.224999999999999,25,-4.48218181818e-05
2.224999999999999,26,-2.05591919192e-05
2.224999999999999,27,-4.11046464646e-05
2.224999999999999,28,-8.14076767677e-05
2.224999999999999,29,-9.86197979798e-05
2.224999999999999,30,-8.95894949495e-05
2.224999999999999,31,-8.28016161616e-05
2.224999999999999,32,-9.00339393939e-05
2.224999999999999,33,-8.95490909091e-05
2.224999999999999,34,-8.76703030303e-05
2.224999999999999,35,-6.31046464646e-05
2.224999999999999,36,-6.81147474747e-05
2.224999999999999,37,-4.53470707071e-05
2.224999999999999,38,-2.19531313131e-05
2.224999999999999,39,-4.41147474747e-05
2.224999999999999,40,-4.17915151515e-05
2.224999999999999,41,-4.12460606061e-05
2.224999999999999,42,-8.58117171717e-05
2.224999999999999,43,-6.85591919192e-05
2.224999999999999,44,-9.92056565657e-05
2.224999999999999,45,-0.000100134949495
2.224999999999999,46,-0.000148316767677
2.224999999999999,47,-0.000122559191919
2.224999999999999,48,-9.20339393939e-05
2.224999999999999,49,-0.000117508686869
2.249999999999999,1,0.00189714545455
2.249999999999999,2,0.00100853939394
2.249999999999999,3,0.000585206060606
2.249999999999999,4,0.00034255959596
2.249999999999999,5,0.000143670707071
2.249999999999999,6,8.17919191919e-05
2.249999999999999,7,1.6701010101e-05
2.249999999999999,8,-8.52383838384e-05
2.249999999999999,9,-0.000147117171717
2.249999999999999,10,-0.000183460606061
2.249999999999999,11,-0.000251319191919
2.249999999999999,12,-0.000265096969697
2.249999999999999,13,-0.000254450505051
2.249999999999999,14,-0.00018337979798
2.249999999999999,15,-0.000170086868687
2.249999999999999,16,-0.000119682828283
2.249999999999999,17,-0.0001614
2.249999999999999,18,-0.000140187878788
2.249999999999999,19,-0.000106309090909
2.249999999999999,20,-0.000136228282828
2.249999999999999,21,-0.000132511111111
2.249999999999999,22,-0.000143480808081
2.249999999999999,23,-0.000195602020202
2.249999999999999,24,-0.00020041010101
2.249999999999999,25,-0.000154995959596
2.249999999999999,26,-0.000137985858586
2.249999999999999,27,-0.000187864646465
2.249999999999999,28,-0.000110713131313
